Purposes
Make better decisions about saving money
Get a better sex education
Promote recycling
Learn about feminism (or another topic)
Tell stories about refugees
Reduce anxiety
Get more exercise
Be more generous
Campaign against internet censorship
Reduce their carbon impact
Eat more healthily
Deal with online abuse
Understand bullying
Reduce unconscious biases
Tackle crime in their local area
Get better access to government services
Volunteer in their local area
Spend more time in nature
Set up an ethical business
Feel less lonely
Make more art
Apply for a job or training opportunity
Donate money to a charity or organisation
involved in politics
Build inclusive technologies
Get better access to healthcare
feel more confident about their bodies
